,20141231,20150131,20150228,20150331,20150430,20150531,20150630,20150731,20150831,20150930,20151031,20151130,20151231,20160131,20160229,20160331,20160430,20160531,20160630,20160731,20160831,20160930,20161031,20161130,20161231,20170131,20170228,20170331,20170430,20170531,20170630,20170731,20170831,20170930,20171031,20171130,20171231,20180131,20180228,20180331,20180430,20180531,20180630,20180731,20180831,20180930,20181031,20181130,20181231,20190131,20190228,20190331,20190430,20190531,20190630,20190731,20190831,20190930,20191031,20191130,20191231,20200131,20200229,20200331,20200430,20200531,20200630,20200731,20200831,20200930,20201031,20201130,20201231,20210131,20210228,20210331,20210430,20210531,20210630,20210731,20210831,20210930,20211031,20211130,20211231,20220131,20220228,20220331,20220430,20220531,20220630,20220731,20220831,20220930,20221031,20221130,20221231,20230131,20230228,20230331,20230430,20230531,20230630,20230731,20230831,20230930,20231031,20231130,20231231,20240131,20240229,20240331,20240430,20240531,20240630,20240731,20240831,20240930,20241031,20241130,20241231,20250131,20250228,20250331,20250430,20250531,20250630,20250731,20250831,20250930,20251031,20251130,20251231,20260131,20260228
UFR,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
ALPHA,0.129489,0.141014,0.133634,0.138611,0.136078,0.134177,0.130976,0.132822,0.133098,0.131492,0.127588,0.126304,0.125837,0.129555,0.13233,0.133114,0.1305609999999999,0.131366,0.13334,0.134397,0.133898,0.134324,0.132775,0.130172,0.130011,0.127939,0.129007,0.128427,0.128185,0.127258,0.126837,0.125823,0.127184,0.125542,0.125893,0.126974,0.127211,0.12667,0.125117,0.12633,0.125756,0.126758,0.126795,0.125587,0.126004,0.1255959999999999,0.125807,0.126156,0.12703,0.12702,0.126481,0.129016,0.128187,0.129754,0.131567,0.132908,0.136501,0.135724,0.134432,0.133919,0.13281,0.134742,0.135525,0.13543,0.136883,0.13681,0.136891,0.138164,0.136144,0.137096,0.137166,0.136841,0.136588,0.134972,0.133454,0.132276,0.131405,0.13175,0.131942,0.133669,0.133394,0.132321,0.134824,0.135027,0.132807,0.132492,0.130923,0.129787,0.12587,0.123686,0.122841,0.126079,0.123101,0.121906,0.119945,0.1242779999999999,0.120275,0.119621,0.11601,0.117567,0.115699,0.11485,0.116339,0.112203,0.11312,0.102877,0.102741,0.10803,0.1155,0.111912,0.112784,0.114013,0.111629,0.10747,0.110118,0.112919,0.111785,0.112498,0.116977,0.118511,0.115684,0.111174,0.119741,0.115618,0.113456,0.107391,0.093619,0.090782,0.078144,0.082162,0.078955,0.05,0.073632,0.05,0.052922
